JD_like,year,month,day,season,Vmag,Verr,Bmag,Berr,Rmag,Rerr,Umag,Uerr,source,date_type
2448953.4376,1992,11,26.937599999830127,8,13.464,0.01,15.265,0.01,11.632000000000001,0.01,,,Grankin et al. 2008,HJD
2448954.2349,1992,11,27.734900000039488,8,13.484000000000002,0.01,15.306000000000001,0.01,11.637000000000002,0.01,,,Grankin et al. 2008,HJD
2448956.3453,1992,11,29.845300000160933,8,13.482000000000001,0.01,15.402000000000001,0.01,11.645000000000001,0.01,,,Grankin et al. 2008,HJD
2448957.2672,1992,11,30.767200000118464,8,13.452,0.01,15.277,0.01,11.592,0.01,,,Grankin et al. 2008,HJD
2448960.3687,1992,12,3.8686999999918044,8,13.482000000000001,0.01,15.401000000000002,0.01,11.622000000000002,0.01,,,Grankin et al. 2008,HJD
2449213.4338,1993,8,13.933800000231713,9,13.432,0.01,15.396,0.01,,,,,Grankin et al. 2008,HJD
2449214.4416,1993,8,14.941600000020117,9,13.38,0.01,15.226,0.01,,,,,Grankin et al. 2008,HJD
2449215.4259,1993,8,15.925900000147521,9,13.407,0.01,15.261,0.01,,,,,Grankin et al. 2008,HJD
2449219.3732,1993,8,19.87319999979809,9,13.487,0.01,15.24,0.01,,,,,Grankin et al. 2008,HJD
2449220.3924,1993,8,20.892399999778718,9,13.452,0.01,15.315,0.01,,,,,Grankin et al. 2008,HJD
2449221.3784,1993,8,21.878399999812245,9,13.405,0.01,15.168,0.01,,,,,Grankin et al. 2008,HJD
2449222.3752,1993,8,22.875200000125915,9,13.440999999999999,0.01,15.293999999999999,0.01,,,,,Grankin et al. 2008,HJD
2449224.3812,1993,8,24.88120000017807,9,13.562999999999999,0.01,15.508,0.01,,,,,Grankin et al. 2008,HJD
2449225.3779,1993,8,25.87790000019595,9,13.511,0.01,15.331,0.01,,,,,Grankin et al. 2008,HJD
2449226.3884,1993,8,26.88840000005439,9,13.487,0.01,15.288,0.01,,,,,Grankin et al. 2008,HJD
2449227.4369,1993,8,27.936900000087917,9,13.401,0.01,15.267,0.01,,,,,Grankin et al. 2008,HJD
2449228.47,1993,8,28.97000000020489,9,13.424000000000001,0.01,15.280000000000001,0.01,,,,,Grankin et al. 2008,HJD
2449241.4859,1993,9,10.9859000002034,9,13.427999999999999,0.01,15.271999999999998,0.01,,,,,Grankin et al. 2008,HJD
2449242.3652,1993,9,11.865199999883771,9,13.491,0.01,15.417,0.01,,,,,Grankin et al. 2008,HJD
2449243.3674,1993,9,12.86739999987185,9,13.484000000000002,0.01,15.334000000000001,0.01,,,,,Grankin et al. 2008,HJD
2449244.3752,1993,9,13.875200000125915,9,13.489,0.01,15.297,0.01,,,,,Grankin et al. 2008,HJD
2449247.3611,1993,9,16.861099999863654,9,13.395999999999999,0.01,15.187999999999999,0.01,,,,,Grankin et al. 2008,HJD
2449248.3499,1993,9,17.849899999797344,9,13.458,0.01,15.36,0.01,,,,,Grankin et al. 2008,HJD
2449249.34,1993,9,18.83999999985099,9,13.51,0.01,15.466999999999999,0.01,,,,,Grankin et al. 2008,HJD
2449250.3354,1993,9,19.835400000214577,9,13.529000000000002,0.01,15.386000000000001,0.01,,,,,Grankin et al. 2008,HJD
2449251.3313,1993,9,20.83130000019446,9,13.477,0.01,15.34,0.01,,,,,Grankin et al. 2008,HJD
