JD_like,year,month,day,season,Vmag,Verr,Bmag,Berr,Rmag,Rerr,Umag,Uerr,source,date_type
2448854.4573,1992,8,19.95729999989271,8,9.016,0.01,9.783,0.01,8.288,0.01,,,Grankin et al. 2008,HJD
2448856.3621,1992,8,21.862100000027567,8,,,,,,,,,Grankin et al. 2008,HJD
2448858.3963,1992,8,23.89630000013858,8,8.943999999999999,0.01,9.731,0.01,8.255999999999998,0.01,,,Grankin et al. 2008,HJD
2448859.3875,1992,8,24.887500000186265,8,9.027999999999999,0.01,9.816999999999998,0.01,8.338999999999999,0.01,,,Grankin et al. 2008,HJD
2448860.3788,1992,8,25.878800000064075,8,8.937999999999999,0.01,9.710999999999999,0.01,8.274999999999999,0.01,,,Grankin et al. 2008,HJD
2448861.3795,1992,8,26.879499999806285,8,9.011000000000001,0.01,9.757000000000001,0.01,8.274000000000001,0.01,,,Grankin et al. 2008,HJD
2448862.3742,1992,8,27.874199999962002,8,9.037,0.01,9.809000000000001,0.01,8.329,0.01,10.113000000000001,0.05,Grankin et al. 2008,HJD
2448863.3755,1992,8,28.875500000081956,8,8.927,0.01,9.661,0.01,8.216999999999999,0.01,9.86,0.05,Grankin et al. 2008,HJD
2448869.3732,1992,9,3.8731999997980893,8,8.921,0.01,9.671999999999999,0.01,8.237,0.01,,,Grankin et al. 2008,HJD
2448870.3444,1992,9,4.8443999998271465,8,9.039,0.01,9.789,0.01,8.309,0.01,,,Grankin et al. 2008,HJD
2448871.3534,1992,9,5.853399999905378,8,8.994,0.01,9.762,0.01,8.292,0.01,10.030000000000001,0.05,Grankin et al. 2008,HJD
2448872.3691,1992,9,6.869099999777973,8,8.943999999999999,0.01,9.703,0.01,8.245,0.01,,,Grankin et al. 2008,HJD
2448873.3621,1992,9,7.862100000027567,8,9.043,0.01,9.815,0.01,8.327,0.01,,,Grankin et al. 2008,HJD
2448874.3292,1992,9,8.829200000036508,8,8.991,0.01,9.774,0.01,8.296999999999999,0.01,,,Grankin et al. 2008,HJD
2448875.3259,1992,9,9.82590000005439,8,8.97,0.01,9.735000000000001,0.01,8.248000000000001,0.01,,,Grankin et al. 2008,HJD
2448876.2936,1992,9,10.793599999975413,8,9.047,0.01,9.849,0.01,8.311,0.01,,,Grankin et al. 2008,HJD
2448877.34,1992,9,11.839999999850988,8,8.955,0.01,9.758,0.01,8.257,0.01,,,Grankin et al. 2008,HJD
2448878.3156,1992,9,12.815599999856204,8,8.979,0.01,9.764999999999999,0.01,8.261,0.01,,,Grankin et al. 2008,HJD
2448879.3124,1992,9,13.812400000169873,8,9.023,0.01,9.786999999999999,0.01,8.315999999999999,0.01,,,Grankin et al. 2008,HJD
2448880.305,1992,9,14.805000000167638,8,8.948,0.01,9.676,0.01,8.232000000000001,0.01,,,Grankin et al. 2008,HJD
2448881.3367,1992,9,15.83669999986887,8,8.987,0.01,9.749,0.01,8.271,0.01,,,Grankin et al. 2008,HJD
2448882.2958,1992,9,16.795799999963492,8,9.023,0.01,9.81,0.01,8.306,0.01,,,Grankin et al. 2008,HJD
2448883.3036,1992,9,17.803600000217557,8,8.919,0.01,9.661000000000001,0.01,8.232000000000001,0.01,,,Grankin et al. 2008,HJD
2448885.3536,1992,9,19.853600000031292,8,9.026,0.01,9.786999999999999,0.01,8.306,0.01,,,Grankin et al. 2008,HJD
2448886.287,1992,9,20.787000000011176,8,8.916,0.01,9.67,0.01,8.224,0.01,9.891,0.05,Grankin et al. 2008,HJD
2448887.2741,1992,9,21.774100000038743,8,9.007,0.01,9.763,0.01,8.293,0.01,10.051,0.05,Grankin et al. 2008,HJD
2448888.2791,1992,9,22.779099999926984,8,8.996,0.01,9.769,0.01,8.307,0.01,10.073,0.05,Grankin et al. 2008,HJD
2448889.278,1992,9,23.777999999932945,8,8.937999999999999,0.01,9.671,0.01,8.236999999999998,0.01,9.901,0.05,Grankin et al. 2008,HJD
2448890.2773,1992,9,24.777300000190735,8,9.021,0.01,9.782,0.01,8.296000000000001,0.01,10.022,0.05,Grankin et al. 2008,HJD
2448891.2712,1992,9,25.771199999842793,8,9.006,0.01,9.746,0.01,8.297,0.01,10.044,0.05,Grankin et al. 2008,HJD
2448891.396,1992,9,25.89600000018254,8,9.013,0.01,9.808,0.01,8.322,0.01,,,Grankin et al. 2008,HJD
2448891.4322,1992,9,25.932200000155717,8,9.027000000000001,0.01,9.793000000000001,0.01,8.318000000000001,0.01,,,Grankin et al. 2008,HJD
2448891.4687,1992,9,25.968700000084937,8,9.021,0.01,9.789000000000001,0.01,8.304,0.01,,,Grankin et al. 2008,HJD
2448892.2814,1992,9,26.78140000021085,8,8.967,0.01,9.692,0.01,8.245000000000001,0.01,9.999,0.05,Grankin et al. 2008,HJD
2448893.2744,1992,9,27.774399999994785,8,8.988,0.01,,,8.299,0.01,,,Grankin et al. 2008,HJD
