JD_like,year,month,day,season,Vmag,Verr,Bmag,Berr,Rmag,Rerr,Umag,Uerr,source,date_type
2448954.3461,1992,11,27.84610000019893,8,11.762,0.01,12.976,0.01,10.707,0.01,,,Grankin et al. 2008,HJD
2448956.4691,1992,11,29.969099999871105,8,11.667,0.01,12.898,0.01,10.625,0.01,,,Grankin et al. 2008,HJD
2448960.42,1992,12,3.919999999925494,8,11.809000000000001,0.01,13.040000000000001,0.01,10.727,0.01,,,Grankin et al. 2008,HJD
2449215.4748,1993,8,15.974799999967217,9,11.708,0.01,12.956,0.01,,,,,Grankin et al. 2008,HJD
2449219.4341,1993,8,19.934100000187755,9,11.638,0.01,12.822,0.01,,,,,Grankin et al. 2008,HJD
2449220.4624,1993,8,20.96240000007674,9,11.689,0.01,12.895,0.01,,,,,Grankin et al. 2008,HJD
2449221.4538,1993,8,21.953799999784678,9,11.725,0.01,12.897,0.01,,,,,Grankin et al. 2008,HJD
2449222.4425,1993,8,22.94249999988824,9,11.671,0.01,12.822,0.01,,,,,Grankin et al. 2008,HJD
2449224.4525,1993,8,24.952500000130385,9,11.692,0.01,12.914,0.01,,,,,Grankin et al. 2008,HJD
2449225.4549,1993,8,25.954899999778718,9,11.682,0.01,12.83,0.01,,,,,Grankin et al. 2008,HJD
2449226.4576,1993,8,26.957599999848753,9,11.695,0.01,12.957,0.01,,,,,Grankin et al. 2008,HJD
2449227.4739,1993,8,27.973900000099093,9,11.708,0.01,12.906,0.01,,,,,Grankin et al. 2008,HJD
2449228.4337,1993,8,28.933699999935925,9,11.681,0.01,12.838,0.01,,,,,Grankin et al. 2008,HJD
2449236.4541,1993,9,5.954100000206381,9,11.658,0.01,12.812,0.01,,,,,Grankin et al. 2008,HJD
2449237.4668,1993,9,6.966800000052899,9,11.652999999999999,0.01,12.839999999999998,0.01,,,,,Grankin et al. 2008,HJD
2449240.4525,1993,9,9.952500000130385,9,11.677999999999999,0.01,12.822,0.01,,,,,Grankin et al. 2008,HJD
2449241.4395,1993,9,10.939499999862164,9,11.714,0.01,12.889000000000001,0.01,,,,,Grankin et al. 2008,HJD
2449242.4686,1993,9,11.968599999789149,9,11.718,0.01,12.933,0.01,,,,,Grankin et al. 2008,HJD
2449243.4603,1993,9,12.960299999918789,9,11.665,0.01,12.838999999999999,0.01,,,,,Grankin et al. 2008,HJD
2449244.4246,1993,9,13.924600000027567,9,11.702,0.01,12.876,0.01,,,,,Grankin et al. 2008,HJD
2449247.4261,1993,9,16.926099999807775,9,11.69,0.01,12.883,0.01,,,,,Grankin et al. 2008,HJD
2449248.4146,1993,9,17.914599999785423,9,11.732000000000001,0.01,12.89,0.01,,,,,Grankin et al. 2008,HJD
2449249.4184,1993,9,18.9183999998495,9,11.709000000000001,0.01,12.931000000000001,0.01,,,,,Grankin et al. 2008,HJD
2449250.4034,1993,9,19.903400000184774,9,11.67,0.01,12.849,0.01,,,,,Grankin et al. 2008,HJD
2449251.3561,1993,9,20.856099999975413,9,11.708,0.01,12.86,0.01,,,,,Grankin et al. 2008,HJD
2449603.4609,1994,9,7.960899999830872,10,11.708,0.01,12.845,0.01,10.688,0.01,,,Grankin et al. 2008,HJD
2449607.3621,1994,9,11.862100000027567,10,11.694,0.01,12.857000000000001,0.01,10.661000000000001,0.01,,,Grankin et al. 2008,HJD
