JD_like,year,month,day,season,Vmag,Verr,Bmag,Berr,Rmag,Rerr,Umag,Uerr,source,date_type
2448860.4505,1992,8,25.95049999980256,8,13.219000000000001,0.01,14.638000000000002,0.01,,,,,Grankin et al. 2008,HJD
2448862.4338,1992,8,27.933800000231713,8,13.192,0.01,14.554,0.01,,,,,Grankin et al. 2008,HJD
2448863.4384,1992,8,28.938399999868125,8,13.214,0.01,14.625,0.01,,,,,Grankin et al. 2008,HJD
2448869.4604,1992,9,3.9604000002145767,8,13.262,0.01,14.719000000000001,0.01,,,,,Grankin et al. 2008,HJD
2448870.4394,1992,9,4.9394000000320375,8,13.252,0.01,14.752,0.01,,,,,Grankin et al. 2008,HJD
2448871.4222,1992,9,5.922199999913573,8,13.258,0.01,14.777,0.01,,,,,Grankin et al. 2008,HJD
2448872.4171,1992,9,6.917100000195205,8,13.218,0.01,14.721,0.01,,,,,Grankin et al. 2008,HJD
2448873.4417,1992,9,7.941699999850243,8,13.200999999999999,0.01,14.704999999999998,0.01,,,,,Grankin et al. 2008,HJD
2448874.4718,1992,9,8.97179999994114,8,13.215,0.01,14.661999999999999,0.01,,,,,Grankin et al. 2008,HJD
2448886.3739,1992,9,20.87390000000596,8,13.181,0.01,14.662999999999998,0.01,,,,,Grankin et al. 2008,HJD
2448887.3641,1992,9,21.86409999988973,8,13.267000000000001,0.01,14.832,0.01,,,,,Grankin et al. 2008,HJD
2448888.3588,1992,9,22.85880000004545,8,13.222000000000001,0.01,14.698,0.01,11.910000000000002,0.01,,,Grankin et al. 2008,HJD
2448889.3523,1992,9,23.852299999911338,8,13.277999999999999,0.01,14.828999999999999,0.01,,,,,Grankin et al. 2008,HJD
2448890.3484,1992,9,24.848400000017136,8,13.296,0.01,14.728,0.01,11.959999999999999,0.01,,,Grankin et al. 2008,HJD
2448891.3442,1992,9,25.844200000166893,8,13.279000000000002,0.01,14.711000000000002,0.01,11.979000000000001,0.01,,,Grankin et al. 2008,HJD
2448891.4187,1992,9,25.91869999980554,8,13.187000000000001,0.01,14.637,0.01,11.912,0.01,,,Grankin et al. 2008,HJD
2448891.4548,1992,9,25.95479999994859,8,13.2,0.01,14.584999999999999,0.01,11.925999999999998,0.01,,,Grankin et al. 2008,HJD
2448891.4889,1992,9,25.988900000229478,8,13.168,0.01,14.631,0.01,11.902,0.01,,,Grankin et al. 2008,HJD
2448892.335,1992,9,26.834999999962747,8,13.142999999999999,0.01,14.624999999999998,0.01,11.886999999999999,0.01,,,Grankin et al. 2008,HJD
