JD_like,year,month,day,season,Vmag,Verr,Bmag,Berr,Rmag,Rerr,Umag,Uerr,source,date_type
2448143.487,1990,9,8.98700000019744,6,13.354000000000001,0.01,14.819,0.01,11.893,0.01,,,Grankin et al. 2008,HJD
2448144.4842,1990,9,9.984199999831617,6,13.235,0.01,14.815999999999999,0.01,11.809999999999999,0.01,,,Grankin et al. 2008,HJD
2448148.4981,1990,9,13.998099999967963,6,13.314,0.01,14.858,0.01,11.894,0.01,,,Grankin et al. 2008,HJD
2448149.493,1990,9,14.992999999783933,6,13.325,0.01,14.969999999999999,0.01,,,,,Grankin et al. 2008,HJD
2448150.484,1990,9,15.984000000171363,6,13.243,0.01,14.790000000000001,0.01,11.881,0.01,,,Grankin et al. 2008,HJD
2448151.5027,1990,9,17.002700000070035,6,13.190999999999999,0.01,14.826999999999998,0.01,,,,,Grankin et al. 2008,HJD
2448152.4879,1990,9,17.987900000065565,6,13.18,0.01,14.668,0.01,,,,,Grankin et al. 2008,HJD
2448153.496,1990,9,18.99599999981001,6,13.057,0.01,14.548,0.01,,,,,Grankin et al. 2008,HJD
2448154.4832,1990,9,19.983200000133365,6,13.126,0.01,14.639999999999999,0.01,11.759,0.01,,,Grankin et al. 2008,HJD
2448155.4808,1990,9,20.98080000001937,6,13.33,0.01,14.894,0.01,11.938,0.01,,,Grankin et al. 2008,HJD
2448156.4825,1990,9,21.982499999925494,6,13.407,0.01,14.847,0.01,11.928,0.01,,,Grankin et al. 2008,HJD
2448157.4834,1990,9,22.98339999979362,6,13.254000000000001,0.01,14.841000000000001,0.01,11.807000000000002,0.01,,,Grankin et al. 2008,HJD
2448158.4792,1990,9,23.979199999943376,6,13.168,0.01,14.692,0.01,11.767999999999999,0.01,,,Grankin et al. 2008,HJD
2448159.4874,1990,9,24.98739999998361,6,13.118,0.01,14.575,0.01,11.699,0.01,,,Grankin et al. 2008,HJD
2448160.4793,1990,9,25.979299999773502,6,13.092,0.01,14.559000000000001,0.01,11.742,0.01,,,Grankin et al. 2008,HJD
2448161.4783,1990,9,26.97830000007525,6,13.189,0.01,14.797,0.01,11.85,0.01,,,Grankin et al. 2008,HJD
2448162.4825,1990,9,27.982499999925494,6,13.337,0.01,15.019,0.01,,,,,Grankin et al. 2008,HJD
2448163.4769,1990,9,28.97690000012517,6,13.397,0.01,14.824,0.01,11.936,0.01,,,Grankin et al. 2008,HJD
2448178.4459,1990,10,13.945900000166148,6,13.213,0.01,14.753,0.01,11.812,0.01,,,Grankin et al. 2008,HJD
2448181.4128,1990,10,16.912800000049174,6,13.119000000000002,0.01,14.624000000000002,0.01,11.747000000000002,0.01,,,Grankin et al. 2008,HJD
2448182.3835,1990,10,17.883499999996275,6,13.333,0.01,14.872,0.01,11.942,0.01,,,Grankin et al. 2008,HJD
