filename_H,FITSFILE_H,AMEND,AMSTART,ACQTIME1,DATE-END,DATE-OBS,ACQTIME,ALT,OBJECT,FOCUS,OBSERVER,UTDATE,DATE,RAUSER,EXPTIME,RAGS,AZI,RATEL,DECUSER,DECTEL,DECGS,NAXIS2_H,filename_K,FITSFILE_K,NAXIS2_K
SDCH_20141118_0174.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141119031250\Result\CDSResult.fits,1.1205,1.1205,2014-11-19-09:20:15.889,2014-11-19-09:20:15.889,2014-11-19-09:20:15.889,2456980.8890625006,2.5,Anon1,52585.000,SK Park MY Chun,2014-11-19,2014-11-19,63,420.00,64,0.000000,64,28,28,28,28,SDCK_20141118_0174.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141119031253\Result\CDSResult.fits,26
SDCH_20141119_0119.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141120023235\Result\CDSResult.fits,1.0467,1.0467,2014-11-20-08:39:59.861,2014-11-20-08:39:59.861,2014-11-20-08:39:59.861,2456981.8610995375,30.4,HD283572,52416.000,"SK Park,H Kim,JJ LEE",2014-11-20,2014-11-20,65,420.00,66,5.000000,66,28,28,28,28,SDCK_20141119_0119.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141120023235\Result\CDSResult.fits,26
SDCH_20141120_0104.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141120231316\Result\CDSResult.fits,1.1631,1.1631,2014-11-21-05:23:40.724,2014-11-21-05:23:40.724,2014-11-21-05:23:40.724,2456982.724768519,22.7,V827Tau,53003.000,"SK Park, H Kim, JJ Lee",2014-11-21,2014-11-21,68,600.00,68,6.000000,68,18,18,18,28,SDCK_20141120_0104.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141120231317\Result\CDSResult.fits,26
SDCH_20141120_0119.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141121014718\Result\CDSResult.fits,1.0129,1.0129,2014-11-21-07:55:12.830,2014-11-21-07:55:12.830,2014-11-21-07:55:12.830,2456982.8300000005,12.5,Hubble_4,53002.000,"SK Park, H Kim, JJ Lee",2014-11-21,2014-11-21,65,450.00,65,1.000000,65,28,28,28,28,SDCK_20141120_0119.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141121014719\Result\CDSResult.fits,26
SDCH_20141122_0157.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141123021203\Result\CDSResult.fits,1.0222,1.0222,2014-11-23-08:16:28.844,2014-11-23-08:16:28.844,2014-11-23-08:16:28.844,2456984.844768519,23.8,IW Tau A,53032.000,"Mace, McLane",2014-11-23,2014-11-23,70,240.00,70,3.000000,70,25,25,25,28,SDCK_20141122_0157.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141123021205\Result\CDSResult.fits,26
SDCH_20141125_0127.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141126041017\Result\CDSResult.fits,1.2217,1.2217,2014-11-26-10:15:22.927,2014-11-26-10:15:22.927,2014-11-26-10:15:22.927,2456987.9273379636,-2.4,LkCa 19,52020.000,"Jaffe, Prato, Mace, McLane, Kidder",2014-11-26,2014-11-26,74,280.00,74,5.000000,74,30,30,30,28,SDCK_20141125_0127.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141126041016\Result\CDSResult.fits,26
SDCH_20141127_0112.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141128024659\Result\CDSResult.fits,1.1369,1.1369,2014-11-28-08:52:04.869,2014-11-28-08:52:04.869,2014-11-28-08:52:04.869,2456989.8694907413,17.9,LkCa 1,53001.000,"dtj, mclane, prato, kidder",2014-11-28,2014-11-28,63,280.00,64,1.000000,64,28,28,28,28,SDCK_20141127_0112.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141128024701\Result\CDSResult.fits,26
SDCH_20141128_0114.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141128225614\Result\CDSResult.fits,1.1429,1.1429,2014-11-29-05:01:40.709,2014-11-29-05:01:40.709,2014-11-29-05:01:40.709,2456990.709490741,13.8,V826 Tau,53509.000,Prato Jaffe McLane Kidder,2014-11-29,2014-11-29,68,300.00,68,2.000000,68,18,18,18,28,SDCK_20141128_0114.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141128225614\Result\CDSResult.fits,26
SDCH_20141128_0122.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141129001351\Result\CDSResult.fits,1.0341,1.0341,2014-11-29-06:19:15.763,2014-11-29-06:19:15.763,2014-11-29-06:19:15.763,2456990.763368056,15.4,HBC 388,53509.000,Prato Jaffe McLane Kidder,2014-11-29,2014-11-29,67,300.00,67,4.000000,67,18,18,18,28,SDCK_20141128_0122.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141129001352\Result\CDSResult.fits,26
SDCH_20141128_0130.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141129005244\Result\CDSResult.fits,1.0031,1.0031,2014-11-29-06:58:09.790,2014-11-29-06:58:09.790,2014-11-29-06:58:09.790,2456990.790381945,16.4,LkCa 4 A,53508.000,Prato Jaffe McLane Kidder,2014-11-29,2014-11-29,64,300.00,64,6.000000,64,28,28,28,28,SDCK_20141128_0130.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141129005245\Result\CDSResult.fits,26
SDCH_20141128_0154.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141129030829\Result\CDSResult.fits,1.1842,1.1842,2014-11-29-09:12:54.883,2014-11-29-09:12:54.883,2014-11-29-09:12:54.883,2456990.883958334,14.1,V819Tau,53508.000,Prato Jaffe McLane Kidder,2014-11-29,2014-11-29,65,240.00,65,4.000000,65,28,28,28,28,SDCK_20141128_0154.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141129030832\Result\CDSResult.fits,26
SDCH_20141128_0158.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141129033216\Result\CDSResult.fits,1.2146,1.2146,2014-11-29-09:36:41.900,2014-11-29-09:36:41.900,2014-11-29-09:36:41.900,2456990.9004745376,14.1,LkCa14,53508.000,Prato Jaffe McLane Kidder,2014-11-29,2014-11-29,69,240.00,69,4.000000,69,26,26,26,28,SDCK_20141128_0158.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141129033219\Result\CDSResult.fits,26
SDCH_20141128_0162.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141129040408\Result\CDSResult.fits,1.2331,1.2331,2014-11-29-10:08:33.922,2014-11-29-10:08:33.922,2014-11-29-10:08:33.922,2456990.9226041674,13.5,V836Tau,53422.000,Prato Jaffe McLane Kidder,2014-11-29,2014-11-29,76,240.00,76,3.000000,76,25,25,25,28,SDCK_20141128_0162.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141129040408\Result\CDSResult.fits,26
SDCH_20141129_0105.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141130003400\Result\CDSResult.fits,1.0248,1.0248,2014-11-30-06:44:25.780,2014-11-30-06:44:25.780,2014-11-30-06:44:25.780,2456991.7808449077,9.6,L1551 IRS 5,53213.000,"Jaffe, Prato, Kidder",2014-11-30,2014-11-30,68,600.00,68,7.000000,68,18,18,18,28,SDCK_20141129_0105.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141130003401\Result\CDSResult.fits,26
SDCH_20141130_0145.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141130210611\Result\CDSResult.fits,1.4196,1.4196,2014-12-01-03:09:36.631,2014-12-01-03:09:36.631,2014-12-01-03:09:36.631,2456992.6316666673,17.0,HD 283572,53400.000,"Prato, Kidder, Jaffe",2014-12-01,2014-12-01,65,180.00,66,3.000000,66,28,28,28,28,SDCK_20141130_0145.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141130210613\Result\CDSResult.fits,26
SDCH_20141130_0231.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141201053846\Result\CDSResult.fits,1.8485,1.8485,2014-12-01-11:42:11.987,2014-12-01-11:42:11.987,2014-12-01-11:42:11.987,2456992.9876273153,11.3,LkCa 19,53018.000,"Prato, Kidder, Jaffe",2014-12-01,2014-12-01,74,180.00,74,9.000000,74,30,30,30,28,SDCK_20141130_0231.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141201053846\Result\CDSResult.fits,26
SDCH_20141205_0120.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141206000924\Result\CDSResult.fits,1.0098,1.0098,2014-12-06-06:12:49.758,2014-12-06-06:12:49.758,2014-12-06-06:12:49.758,2456997.7589004636,34.6,IW Tau,53402.000,Greg Mace,2014-12-06,2014-12-06,70,180.00,70,1.000000,70,25,25,25,28,SDCK_20141205_0120.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141206000926\Result\CDSResult.fits,26
SDCH_20141207_0054.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141208015843\Result\CDSResult.fits,1.1127,1.1127,2014-12-08-08:02:08.834,2014-12-08-08:02:08.834,2014-12-08-08:02:08.834,2456999.8348148153,37.8,L1551-55,53164.000,"Juarez, Mace",2014-12-08,2014-12-08,68,180.00,68,1.000000,68,18,18,18,28,SDCK_20141207_0054.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141208015844\Result\CDSResult.fits,26
SDCH_20141224_0093.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141224235436\Result\CDSResult.fits,1.0236,1.0236,2014-12-25-05:57:01.747,2014-12-25-05:57:01.747,2014-12-25-05:57:01.747,2457016.7479282413,6.0,V 1070 Tau,51218.000,"HY Oh, IS Yuk, H Kim",2014-12-25,2014-12-25,65,120.00,65,7.000000,65,28,28,28,28,SDCK_20141224_0093.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20141224235436\Result\CDSResult.fits,26
SDCH_20150106_0077.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20150106200706\Result\CDSResult.fits,1.1176,1.1176,2015-01-07-02:11:31.591,2015-01-07-02:11:31.591,2015-01-07-02:11:31.591,2457029.591331019,32.6,HD 283572,53308.000,B. Kidder and Kyle Kaplan,2015-01-07,2015-01-07,65,240.00,66,3.000000,66,28,28,28,28,SDCK_20150106_0077.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20150106200706\Result\CDSResult.fits,26
SDCH_20150106_0089.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20150106211836\Result\CDSResult.fits,1.0559,1.0559,2015-01-07-03:22:21.640,2015-01-07-03:22:21.640,2015-01-07-03:22:21.640,2457029.640520834,29.1,V826 Tau,53307.000,B. Kidder and Kyle Kaplan,2015-01-07,2015-01-07,68,200.00,68,9.000000,68,18,18,18,28,SDCK_20150106_0089.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20150106211837\Result\CDSResult.fits,26
SDCH_20151117_0205.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20151118025705\Result\CDSResult.fits,1.0734,1.0734,2015-11-18-09:02:29.876,2015-11-18-09:02:29.876,2015-11-18-09:02:29.876,2457344.8767245375,21.8,LkCa 4,51870.000,Mace,2015-11-18,2015-11-18,0,300.00,64,9.000000,64,0,28,28,28,SDCK_20151117_0205.spec_a0v.fits,D:\HXRG\H2RG-C001-ASIC-SC2-B-010-JWST\FSRamp\20151118025706\Result\CDSResult.fits,26
